# Purpose: compare stored GEOS kro with Thomas Table 3 and Eq. (25) at 2.5 years.
subregion,height_m,volume_m3,oil_saturation,gas_saturation,water_saturation,geos_oil_relperm,thomas_eq25_oil_relperm,geos_minus_thomas,geos_over_thomas
m_3_5_6,2.8959048000000003,0.11326738636799967,0.2539837512802094,0.5457039339319618,0.20031231478782874,0.0015960639461654047,0.0020263417080548796,-0.00043027776188947486,0.7876578465620658
m_4_1_1,0.1527048,0.05663369318400003,0.7983025523640785,0.0012122283302470093,0.20048521930567456,0.9945056029878927,0.9950092271261206,-0.0005036241382279094,0.999493849780989
m_4_1_2,0.6099048,0.11326738636800006,0.5290964604320263,0.27048724448085143,0.20041629508712222,0.30779485216696933,0.30853834748799747,-0.0007434953210281314,0.9975902660817322
m_4_1_3,1.2195047999999997,0.11326738636800004,0.3555372786699169,0.44405695075818574,0.20040577057189765,0.0731045946651909,0.07348570734138887,-0.0003811126761979755,0.9948137850204332
m_4_1_4,1.8291047999999999,0.11326738636800004,0.30025990033198163,0.4993465041336563,0.20039359553436217,0.02771434197598177,0.028137575672900872,-0.00042323369691910084,0.9849584163952435
m_4_1_5,2.4387048,0.11326738636800017,0.2734158587335924,0.526203273688568,0.20038086757783957,0.01253543371186644,0.012896308885237517,-0.000360875173371078,0.9720171735507844
m_4_1_6,2.8959048000000003,0.05663369318399997,0.2539830042186285,0.5457050059577492,0.20031198982362228,0.00159566121981497,0.002026134716663075,-0.000430473496848105,0.7875395484279202
m_4_2_1,0.1527048,0.11326738636800006,0.7973954692635243,0.0021192314792208688,0.2004852992572546,0.9917834697172613,0.9922913816529808,-0.0005079119357195294,0.999488142349001
m_4_2_2,0.6099048,0.22653477273600012,0.5261715877593982,0.27341259728843853,0.20041581495216296,0.3019467192292484,0.30269303165728073,-0.0007463124280323585,0.9975344248133292
m_4_2_3,1.2195047999999997,0.22653477273600012,0.35547875553510155,0.4441157999254252,0.20040544453947295,0.07305656262762583,0.07343773797078196,-0.000381175343156126,0.9948095440615589
m_4_2_4,1.8291047999999999,0.22653477273600012,0.30032916846224095,0.49927743779253536,0.20039339374522364,0.027771237510733737,0.028194442145698273,-0.00042320463496453575,0.9849897851222743
m_4_2_5,2.4387048,0.22653477273600034,0.27343885873390944,0.5261804098964287,0.20038073136966156,0.012548392685149068,0.012909304882787853,-0.00036091219763878524,0.9720424762668675
m_4_2_6,2.8959048000000003,0.11326738636799995,0.2540032679545453,0.5456847639117113,0.20031196813374375,0.0016070754571534949,0.0020375245775102746,-0.00043044912035677973,0.7887391763967033
m_4_3_1,0.1527048,0.22653477273600012,0.7974078935281955,0.002106372076318781,0.20048573439548542,0.9918207542537223,0.9923287005057249,-0.0005079462520025668,0.9994881270170421
m_4_3_2,0.6099048,0.45306954547200023,0.5278233029055565,0.27176136095697456,0.20041533613746876,0.3052492778461272,0.3059933370749579,-0.0007440592288306958,0.9975683809459929
m_4_3_3,1.2195047999999997,0.4530695454720002,0.3559710976585088,0.4436239195516203,0.20040498278987107,0.07346085958477305,0.07384172535189082,-0.0003808657671177662,0.99484213342385
m_4_3_4,1.8291047999999999,0.45306954547200007,0.30077169894699923,0.49883506171788655,0.2003932393351142,0.028134650197623123,0.0285575252507404,-0.0004228750531172776,0.9851921674093131
m_4_3_5,2.4387048,0.4530695454720007,0.27356871663659965,0.5260506184243949,0.20038066493900555,0.01262151761078656,0.012982281850380084,-0.00036076423959352337,0.9722110300984599
m_4_3_6,2.8959048000000003,0.2265347727359998,0.25402926695157824,0.5456584871440704,0.20031224590435173,0.0016217033067261744,0.002051938436974543,-0.0004302351302483687,0.7903274667037653
m_4_4_1,0.1527048,0.11326738636800017,0.7973954692635224,0.0021192314792195755,0.200485299257258,0.9917834697172556,0.9922913816529754,-0.0005079119357197515,0.9994881423490007
m_4_4_2,0.6099048,0.22653477273600034,0.526171587759554,0.27341259728828055,0.20041581495216554,0.3019467192295596,0.3026930316575934,-0.0007463124280338018,0.997534424813327
m_4_4_3,1.2195047999999997,0.2265347727360003,0.3554787555351491,0.4441157999253773,0.20040544453947357,0.07305656262766486,0.07343773797082068,-0.0003811753431558207,0.9948095440615659
m_4_4_4,1.8291047999999999,0.22653477273600026,0.30032916846227836,0.4992774377924976,0.2003933937452241,0.02777123751076449,0.02819444214572886,-0.0004232046349643692,0.9849897851222965
m_4_4_5,2.4387048,0.22653477273600053,0.27343885873390866,0.5261804098964283,0.20038073136966295,0.012548392685148568,0.01290930488278641,-0.00036091219763784155,0.9720424762669374
m_4_4_6,2.8959048000000003,0.11326738636800002,0.254003267954504,0.5456847639117516,0.20031196813374447,0.0016070754571301804,0.0020375245774867934,-0.000430449120356613,0.7887391763943505
m_4_5_1,0.1527048,0.056633693183999946,0.7983025523640777,0.0012122283302453054,0.20048521930567686,0.9945056029878898,0.9950092271261192,-0.0005036241382293527,0.9994938497809875
m_4_5_2,0.6099048,0.1132673863679999,0.5290964604321584,0.27048724448071526,0.2004162950871263,0.30779485216723323,0.3085383474882648,-0.0007434953210315731,0.9975902660817231
m_4_5_3,1.2195047999999997,0.11326738636799988,0.35553727866996837,0.44405695075813256,0.20040577057189912,0.07310459466523311,0.07348570734143112,-0.00038111267619800326,0.9948137850204357
m_4_5_4,1.8291047999999999,0.11326738636799985,0.30025990033202954,0.49934650413360776,0.20039359553436262,0.027714341976021073,0.028137575672940174,-0.00042323369691910084,0.9849584163952645
m_4_5_5,2.4387048,0.11326738636800002,0.27341585873359614,0.526203273688567,0.20038086757783713,0.01253543371186866,0.012896308885240793,-0.0003608751733721327,0.9720171735507097
m_4_5_6,2.8959048000000003,0.05663369318399988,0.25398300421859205,0.5457050059577894,0.20031198982361886,0.0015956612197945974,0.0020261347166446453,-0.0004304734968500479,0.7875395484250287
m_5_1_1,0.1527048,0.02831684659199993,0.7986649811881065,0.0008499063390235152,0.20048511247286976,0.9955932452922015,0.9960951387086703,-0.0005018934164687794,0.9994961390765149
m_5_1_2,0.6099048,0.05663369318399987,0.5297078081775742,0.2698756970836979,0.2004164947387279,0.30901721110608854,0.30976019771358365,-0.0007429866074951108,0.9976014135677235
m_5_1_3,1.2195047999999997,0.05663369318399986,0.35545916306240877,0.4441349157960897,0.20040592114150174,0.07304044321923299,0.07342159971535944,-0.00038115649612645297,0.9948086598820495
m_5_1_4,1.8291047999999999,0.05663369318399985,0.3001559022191506,0.49945043510115084,0.2003936626796985,0.027628935115810827,0.028052242355707302,-0.00042330723989647545,0.9849100391145611
m_5_1_5,2.4387048,0.056633693183999925,0.2733861233883759,0.5262329587077653,0.2003809179038585,0.012518687210855028,0.012879578405273262,-0.0003608911944182336,0.9719795801491085
m_5_1_6,2.8959048000000003,0.0283168465919999,0.2539704921527985,0.5457175434456969,0.2003119644015046,0.001588615526920245,0.002019127291807088,-0.00043051176488684284,0.7867832470821879
m_5_2_1,0.1527048,0.05663369318399987,0.7983025523640805,0.0012122283302469445,0.20048521930567206,0.9945056029878984,0.9950092271261275,-0.0005036241382291307,0.9994938497809878
m_5_2_2,0.6099048,0.11326738636799974,0.5290964604320479,0.27048724448082917,0.2004162950871228,0.3077948521670125,0.3085383474880413,-0.0007434953210287976,0.9975902660817304
m_5_2_3,1.2195047999999997,0.11326738636799973,0.355537278669967,0.4440569507581379,0.20040577057189513,0.07310459466523211,0.07348570734143056,-0.00038111267619844735,0.9948137850204297
m_5_2_4,1.8291047999999999,0.11326738636799973,0.30025990033207706,0.49934650413356235,0.20039359553436054,0.027714341976060264,0.028137575672979587,-0.0004232336969193229,0.9849584163952777
m_5_2_5,2.4387048,0.11326738636799985,0.27341585873366503,0.5262032736884983,0.20038086757783666,0.012535433711907573,0.012896308885279983,-0.00036087517337241026,0.9720171735507733
m_5_2_6,2.8959048000000003,0.0566336931839998,0.25398300421868136,0.5457050059576976,0.20031198982362092,0.001595661219844724,0.0020261347166936616,-0.00043047349684893765,0.7875395484307165
