density [kg/m3],temperature [C] = 26,temperature [C] = 36,temperature [C] = 46,temperature [C] = 56,temperature [C] = 66,temperature [C] = 76,temperature [C] = 86,temperature [C] = 96
pressure [Pa] = 25500000,1011.3298595518113,1011.5574343714176,1011.785060401119,1012.0127376524396,1012.2404661369053,1012.4682458660445,1012.6960768513892,1012.9239591044728
pressure [Pa] = 26000000,1013.151892636832,1013.3798774600064,1013.6079135855367,1013.8360010249683,1014.0641397898473,1014.292329891724,1014.5205713421499,1014.74886415268
pressure [Pa] = 26500000,1014.9772083348714,1015.2056039002844,1015.4340508604812,1015.6625492270271,1015.8910990114897,1016.1197002254395,1016.3483528804493,1016.5770569880946
pressure [Pa] = 27000000,1016.8058125599536,1017.0346196076072,1017.2634781426387,1017.4923881766338,1017.7213497211815,1017.9503627878726,1018.1794273883008,1018.4085435340631
pressure [Pa] = 27500000,1018.637711236758,1018.8669305079873,1019.0962013593553,1019.3255238024685,1019.5548978489364,1019.7843235103716,1020.0138007983883,1020.2433297246038
pressure [Pa] = 28000000,1020.472910300638,1020.7025425381137,1020.9322264486557,1021.1619620438919,1021.3917493354527,1021.621588334971,1021.8514790540822,1022.0814215044252
pressure [Pa] = 28500000,1022.3114156976401,1022.5414616453705,1022.771559359263,1023.0017088509657,1023.23191013213,1023.4621632144102,1023.6924681094627,985.5719156570639
pressure [Pa] = 29000000,985.793694287247,986.0155228232362,986.2374012762614,986.459329657555,986.6813079783526,986.9033362498918,987.1254144834123,987.3475426901572
pressure [Pa] = 29500000,987.5697208813716,987.7919490683034,988.0142272622029,988.2365554743228,988.4589337159186,988.6813619982481,988.9038403325718,989.1263687301524
pressure [Pa] = 30000000,989.3489472022559,989.5715757601498,989.7942544151052,990.0169831783948,990.2397620612945,990.4625910750822,990.6854702310388,990.9083995404477
pressure [Pa] = 30500000,991.1313790145945,991.3544086647676,991.5774885022577,991.8006185383584,992.0237987843656,992.2470292515779,992.4703099512963,992.6936408948244
pressure [Pa] = 31000000,992.9170220934682,993.1404535585365,993.3639353013403,993.5874673331937,993.8110496654127,994.0346823093165,994.2583652762263,994.4820985774658
pressure [Pa] = 31500000,994.7058822243619,994.9297162282436,995.1536006004424,995.3775353522922,995.60152049513,995.8255560402952,996.0496419991293,996.2737783829766
pressure [Pa] = 32000000,996.4979652031843,996.7222024711018,996.9464901980808,997.1708283954762,997.3952170746448,997.6196562469468,997.844145923744,998.0686861164011
pressure [Pa] = 32500000,998.2932768362858,998.5179180947679,998.7426099032198,998.9673522730164,999.1921452155356,999.4169887421572,999.6418828642642,999.8668275932416
pressure [Pa] = 33000000,1000.0918229404773,1000.3168689173622,1000.5419655352885,1000.7671128056518,1000.9923107398506,1001.2175593492855,1001.4428586453595,1001.6682086394783
pressure [Pa] = 33500000,1001.8936093430503,1002.1190607674866,1002.3445629242005,1002.5701158246083,1002.7957194801282,1003.0213739021817,1003.2470791021925,1003.4728350915871
pressure [Pa] = 34000000,1003.698641881794,1003.9244994842447,1004.1504079103737,1004.376367171617,1004.6023772794142,1004.828438245207,1005.0545500804399,1005.2807127965596
pressure [Pa] = 34500000,1005.5069264050152,1005.7331909172595,1005.9595063447467,1006.1858726989341,1006.4122899912817,1006.6387582332513,1006.8652774363087,1007.0918476119206
pressure [Pa] = 35000000,1007.3184687715578,1007.5451409266925,1007.7718640888003,1007.9986382693589,1008.2254634798488,1008.452339731753,1008.679267036557,1008.9062454057492
pressure [Pa] = 35500000,1009.1332748508203,1009.3603553832637,1009.5874870145752,1009.8146697562536,1010.0419036197997,1010.2691886167173,1010.496524758513,1010.7239120566954
pressure [Pa] = 36000000,1010.9513505227761,1011.1788401682691,1011.4063810046911,1011.6339730435614,1011.8616162964018,1012.0893107747368,1012.3170564900931,1012.544853454001
pressure [Pa] = 36500000,1012.772701677992,1013.0006011736014,1013.2285519523665,1013.4565540258269,1013.6846074055261,1013.9127121030085,1014.1408681298221,1014.3690754975174
pressure [Pa] = 37000000,1014.5973342176474,1014.8256443017676,1015.0540057614364,1015.2824186082142,1015.510882853665,1015.7393985093543,1015.9679655868508,1016.1965840977258
